PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
608	Unknown	1230	6.64155	6.8463	6.868433	382.2799	4725.044921875	36711.0703125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	47.61414	382.27994:5326 383.2785:1362 384.26276:251 385.24762:1510 386.25607:638 387.24341:2914	
609	Unknown	1230	6.730083	6.8463	7.0787	486.3275	3800.72778320313	43489.765625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	36.55613	486.32748:3899 487.32532:1439 488.32153:238 489.2886:767 490.2872:315 491.28055:1620	
610	Unknown	1242	6.802017	6.9127	7.25025	558.3478	17097.2265625	175180.265625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	164.5616	558.34784:17605 559.05383:235 559.34918:5350 560.35461:1139 561.34064:435 562.3457:227 563.30566:1581	
611	Unknown	1242	6.752217	6.9127	7.194917	559.3492	5180.765625	54826.0703125	null	[M+H]+	M + 1	isotope of 610	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	60.72512	559.05383:235 559.34918:5350 560.35461:1139 561.34064:435 562.3457:227 563.30566:1581 564.33441:543	
612	Unknown	1250	6.934834	6.956967	7.23365	354.248	8054.142578125	75559.609375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	53.28967	354.24796:9125 354.40796:210 355.26529:2352 356.26312:691 357.23941:1083 358.2243:367 359.21252:3272	
613	Unknown	1252	6.873967	6.968033	7.017833	218.0973	2273.29077148438	11492.5048828125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.02433	218.03619:759 218.0985:2388 219.01683:515 219.09846:423 219.14323:348 220.13821:221 221.13348:583 222.11508:221	
614	Unknown	1254	6.67475	6.9791	7.294517	216.101	6238.31298828125	67894.5234375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	53.79631	216.10095:5903 217.05081:2213 217.10622:1844 218.04088:561 218.09825:2187 218.17844:280 219.02359:255 219.13115:546	
615	Unknown	1263	6.8795	7.0289	7.172783	304.2602	6265.03466796875	64380.41015625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	39.37383	304.26022:6729 305.17328:434 305.25787:1063 306.186:230 306.28842:502 307.20227:568 307.30341:235 308.20316:333 309.22308:1366	
616	Unknown	1264	6.901633	7.034433	7.322183	530.3525	6199.6826171875	71573.3671875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	62.00364	530.35376:6537 531.35138:1636 532.3454:477 533.3175:444 534.34772:215 535.31305:746	
617	Unknown	1268	6.8961	7.056567	7.15065	272.234	4408.4150390625	44987.14453125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	34.28787	272.23401:5144 272.93774:341 273.17084:756 273.22943:1044 274.21982:383 275.17508:395 276.18442:297 276.22067:324 277.06409:590 277.18839:527	
618	Unknown	1268	6.934834	7.056567	7.128517	498.3249	2404.38940429688	18382.71484375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.32875	498.32492:2590 499.3125:965 500.30261:495 501.30481:650 502.29025:262 503.30212:808	
619	Unknown	1269	6.973567	7.0621	7.16725	204.1387	3627.97900390625	27641.599609375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.82123	204.13869:4171 205.00877:406 205.13844:822 205.18523:247 206.02242:205 206.12434:224 207.14658:580 208.14069:225 209.11501:303	
620	Unknown	1272	6.796484	7.0787	7.288983	603.3753	4366.54296875	42583.421875	null	[M+H]+	M + 1	isotope of 621	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	51.14825	603.37531:4501 604.37885:1257 605.37555:478 607.33618:990 608.34747:470	
621	Unknown	1273	6.956967	7.084233	7.4384	602.3742	13724.4970703125	144600.546875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	158.7627	602.37421:14320 602.65039:214 602.96454:337 603.37817:4575 603.54211:295 604.38019:1187 605.35449:408 606.37433:229 606.56488:289 607.33087:1035	
622	Unknown	1285	7.051033	7.15065	7.34985	239.1308	7655.59521484375	89848.671875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	44.21893	239.13077:8010 239.27014:230 240.01694:438 240.13539:927 241.01503:258 241.1519:578 242.17412:288 243.11855:236 243.17433:424	
623	Unknown	1296	7.056567	7.211517	7.477133	574.3785	6524.39111328125	77933.4296875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	65.38928	574.37848:6670 575.38007:2018 576.37885:446 576.55792:510 577.3443:330 579.33136:471	
624	Unknown	1298	7.122983	7.222583	7.311117	229.1726	2326.5615234375	16374.255859375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.99788	229.01003:201 229.17107:2804 230.1817:926 231.1053:467 231.16261:249 232.16821:270 233.02225:251 233.13733:318	
625	Unknown	1302	7.0455	7.244717	7.493733	646.3998	8650.126953125	87684.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	115.4263	646.39978:8934 647.40289:2855 648.40216:871 649.42279:279 651.35571:628	
626	Unknown	1303	7.100833	7.25025	7.526933	542.3471	2386.52587890625	30421.1328125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	29.90181	542.34711:2540 543.35205:912 544.35913:382 545.31696:525 546.34583:221 547.31317:454	
627	Unknown	1308	6.973567	7.277916	7.753817	384.2955	33542.7734375	587097.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	313.0082	384.2955:34548 384.47156:738 385.29718:7485 385.42667:293 386.29626:1627 387.24878:2001 388.25415:1405 389.25183:9059	
628	Unknown	1325	7.28345	7.371984	7.720617	618.4033	5170.640625	63347.375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	58.11841	618.40332:5669 619.40942:2002 620.40088:340 623.35834:324	
629	Unknown	1329	7.161716	7.394134	7.648667	338.2049	3925.07470703125	44032.703125	null	[M+H]+	M + 1	isotope of 630	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	34.10535	338.20493:4068 338.96683:391 339.21936:832 340.20853:239 341.23309:569 342.23898:353	
