,m/z,rt,sn,score,peak area
344,337.2226,11.97,0.849,3,225124.9104817708
345,337.2226,12.11,0.757,3,388974.22998046875
346,337.2226,12.24,0.431,2,554415.4208984375
347,337.2361,8.78,1.026,1,108554.5576171875
348,337.2361,8.9,0.884,1,324259.2545979817
349,337.2361,9.2,0.957,1,535209.8907877604
350,337.2361,9.7,1.015,1,207077.1468098958
351,337.2361,9.9,0.96,3,514326.46956380206
352,338.317,14.82,1.087,3,205081.99572753906
353,338.3441,17.22,8.14,1,5533153.697916666
354,338.3441,17.4,3.293,3,6380283.767252603
355,338.3441,17.55,1.888,1,6594506.499064127
356,338.3441,17.69,1.487,2,6962184.903483074
357,338.9672,0.63,0.0,1,374857.42386881507
358,339.2113,5.66,0.865,3,206641.0559895833
359,339.2113,5.93,0.911,2,127967.47387695312
360,339.347,17.22,7.268,2,1223382.837931315
361,339.347,17.36,0.0,1,1484014.4412434895
362,340.2304,5.41,1.051,2,178388.9606119792
363,340.2713,7.52,1.154,3,602850.694905599
364,340.353,17.21,0.0,2,109291.3966471354
365,340.353,17.73,0.0,1,189732.55920410156
366,341.2117,4.82,0.862,1,257843.80074055988
367,341.2117,5.01,0.861,2,135050.1170247396
368,341.2117,5.21,0.885,3,167358.4208984375
369,341.2117,5.44,1.052,2,497949.7927246094
370,341.2254,6.42,0.859,3,214078.19490559894
371,341.2254,6.63,0.762,1,191973.44156901044
372,341.2254,6.81,1.0,3,307048.9989827473
373,341.239,7.35,1.029,2,109641.90999348958
374,341.239,7.47,0.954,1,133049.9884440104
375,341.239,7.68,0.876,3,170986.19588216147
376,341.239,8.44,0.761,3,612170.0613199869
377,341.3073,16.53,3.594,2,400724.4181722005
378,341.3073,16.66,0.0,3,467821.28312174475
379,342.2505,5.21,0.0,3,376670.5075276692
380,342.3464,16.18,12.137,1,2300334.6799316406
381,342.3464,16.37,0.0,3,2481912.212890625
382,343.1553,11.68,0.973,2,104068.53304036458
383,343.1964,8.63,3.362,2,364703.66109212243
384,343.2102,4.87,0.929,3,368538.8287760416
385,343.2239,5.21,1.076,1,151643.01322428384
386,343.3475,16.18,3.482,2,379842.66410319007
387,343.3475,16.3,0.0,1,450320.7226155598
388,344.2276,4.02,0.0,3,679116.3129882812
389,345.1927,5.37,0.819,1,430668.3727213542
390,345.1927,5.76,2.089,2,273673.0545247395
391,345.2065,11.6,2.336,3,167251.6140950521
392,348.2298,9.84,4.15,2,557074.090657552
393,348.3134,15.59,3.234,3,4861655.72265625
394,348.3134,15.71,1.933,2,6265959.444010417
395,348.3134,15.83,2.676,2,7361004.1015625
396,348.3134,15.94,2.235,3,7359067.306722005
397,349.2202,6.64,2.106,1,258222.51643880206
398,349.2202,6.77,1.005,3,283675.73193359375
399,349.2202,7.33,0.972,3,149953.533203125
400,349.2202,7.46,0.972,1,189372.58736165363
401,349.318,15.6,3.183,3,1031867.462931315
402,349.318,15.71,2.489,1,1403388.9444580078
403,349.318,15.84,1.082,3,1549852.4811197915
404,351.2234,6.9,0.951,3,1007271.4798177083
405,351.2234,8.09,1.008,2,126673.17761230469
406,351.2375,7.83,1.332,3,133558.84651692706
407,351.2515,9.8,0.954,1,125683.18538411456
408,351.2515,10.17,0.954,2,808622.9137369791
409,351.2515,10.88,0.674,2,138824.23173014322
410,351.2515,11.04,0.974,3,283261.3293457031
411,353.2099,5.08,0.998,1,249912.75748697916
