,m/z,rt,sn,score,peak area
362,338.3439,17.38,2.856,3,4985250.280924478
363,338.3439,17.57,1.837,2,5307453.681722005
364,338.3439,17.68,1.419,3,5496155.170694986
365,339.184,8.88,0.0,1,206215.64208984372
366,339.3468,17.22,4.554,2,859839.9755859373
367,339.3468,17.35,0.0,2,1152494.4820963542
368,340.2303,4.97,0.0,3,253019.456258138
369,341.2115,4.53,0.993,2,661027.5
370,341.2388,8.54,5.53,1,11410458.779459635
371,341.2388,8.79,14.177,1,13870900.882486977
372,341.2388,10.58,0.0,2,294664.066813151
373,341.3071,16.53,2.929,3,166506.2215576172
374,342.2367,8.54,3.607,2,2321744.003255208
375,342.2367,8.74,1.869,2,2810857.2568359375
376,342.2367,8.87,2.308,3,3098364.6525065107
377,342.2367,9.0,0.0,1,3135706.41772461
378,342.2504,5.22,0.0,2,152473.0540364583
379,342.3462,16.19,10.413,3,1586115.7991536458
380,342.3462,16.32,1.95,1,1705361.0682373047
381,342.3462,16.44,0.0,2,1856293.7784830728
382,343.1551,11.68,1.359,1,154906.76098632812
383,343.1825,6.11,0.0,1,175176.9954427083
384,343.1963,8.63,2.562,2,270417.8515625
385,343.21,5.1,1.114,1,195939.91031901044
386,343.2237,4.88,0.953,3,130518.50081380208
387,343.2375,8.53,0.854,1,134651.8411458333
388,343.3473,16.19,3.364,2,273066.77673339844
389,344.2274,4.02,3.994,1,540474.5592447917
390,344.2274,4.14,0.0,2,597971.0013020833
391,345.1925,5.77,11.54,1,2887694.0374755855
392,345.1925,5.89,1.784,2,3367052.791829427
393,345.1925,6.12,0.363,2,3368287.6851399736
394,345.1925,6.27,1.164,1,323086.51721191406
395,345.2202,7.44,1.593,2,244952.39892578122
396,346.1881,5.77,5.001,3,423812.9483642578
397,347.1866,11.79,0.0,3,413246.5315755208
398,347.2004,5.69,9.911,2,1679463.022338867
399,347.2004,5.81,2.212,3,1848808.8618164058
400,347.2004,5.93,1.289,3,1854997.264485677
401,347.3671,6.19,0.0,3,332856.7862955729
402,348.2018,5.69,0.0,1,229559.83935546872
403,348.2297,9.82,0.0,1,258902.51204427084
404,348.3132,15.6,6.171,3,2156662.9921875
405,348.3132,15.72,1.915,2,2523636.7910156245
406,348.3132,15.85,2.369,3,2881082.024414062
407,349.3178,15.59,4.298,3,438401.63134765625
408,351.2373,7.8,0.998,1,126990.93880208333
409,353.2662,15.6,6.248,1,2988774.948038737
410,353.2662,15.72,2.134,2,3309749.5305989585
411,353.2662,15.85,2.655,1,3832070.8053385415
412,353.2662,15.98,0.0,3,3855939.8849283853
413,354.2284,10.26,1.615,3,233269.6650390625
414,354.2709,15.6,5.27,1,578367.7083333334
415,354.2709,15.72,1.285,1,631938.7830403645
416,354.2851,10.89,5.867,1,1206729.6114095054
417,354.2851,11.01,2.036,2,1422072.0626627603
418,354.2851,11.14,0.895,3,1437019.1018473306
419,355.25,11.86,1.092,2,676335.2054036459
420,355.2784,10.95,0.792,3,133788.78401692706
421,355.2784,13.5,0.804,1,211766.2529296875
422,355.2784,13.67,0.946,2,672049.787923177
423,355.2784,15.59,0.0,1,128476.39481608072
424,355.2926,10.89,2.01,1,220220.4700520833
425,356.2603,11.95,1.464,1,110280.23811848958
426,356.2746,5.88,0.0,3,130577.61702473956
427,357.2021,4.52,0.991,1,102385.84423828125
428,358.2323,7.18,2.725,1,164011.4121907552
429,359.208,6.76,11.483,2,43728720.3137207
430,359.208,7.0,7.979,1,55283061.6578776
431,359.323,16.53,4.006,1,1452471.6848958333
432,359.3661,6.76,0.0,1,1942011.917643229
433,360.316,16.52,4.482,2,358191.67854817706
434,360.3304,17.28,0.46,1,162685.11995442706
435,360.3304,17.41,0.204,1,230952.4620768229
436,361.2107,6.73,3.697,3,1064023.3268229165
437,361.2107,6.88,1.231,3,1158665.810221354
438,361.2107,7.19,1.509,3,140103.2421875
439,362.2235,6.02,0.0,3,400757.5563964844
440,362.2235,6.69,3.098,1,243778.39945475257
441,363.1955,5.08,0.0,3,245028.77888997394
442,364.3305,15.22,1.882,1,145240.96158854166
443,365.2059,9.59,0.3,2,161453.34273274738
444,366.3471,15.83,3.704,3,2728990.6822916665
445,366.3471,15.94,3.087,2,3449067.963216146
446,366.3471,16.08,2.398,2,3821152.348795572
447,366.3471,16.2,0.0,1,3860251.0912679033
448,367.242,5.43,3.502,1,235374.8048095703
449,367.2714,7.32,0.968,1,184298.7795003255
450,368.3601,16.44,4.535,1,1071997.611328125
451,368.3601,16.61,0.0,3,1424365.0854085286
452,368.4191,16.52,2.291,1,644975.578125
453,368.4191,16.65,1.889,1,962397.4029947916
454,368.4191,16.76,1.449,2,1017984.4705403645
455,369.2157,7.01,0.0,3,140801.16088867188
456,369.2452,8.85,1.691,3,200380.52779134113
457,369.2748,12.33,1.627,2,102047.00439453124
458,369.3191,13.43,3.255,2,329115.1315917969
459,369.3634,16.45,3.842,2,293698.0891927083
460,369.4225,16.51,0.0,1,175433.59375
461,370.3842,17.07,6.55,3,2427473.47265625
462,370.3842,17.2,1.802,3,2777934.797200521
463,370.3842,17.33,0.0,1,3051885.6389973955
464,371.2,12.04,2.693,3,235462.1650797526
465,371.3188,16.82,3.032,3,842520.0631510417
466,371.3188,16.94,2.796,3,1326254.2517903643
467,371.3188,17.07,1.82,1,1355098.0666910803
468,371.3782,17.07,7.657,2,663340.9007161456
469,372.2557,4.92,1.914,3,137118.64892578125
470,372.3152,16.82,2.374,3,178254.83341471353
471,373.2248,7.52,2.611,1,195647.59537760416
472,373.2248,7.74,3.211,2,275343.6692708333
473,373.2248,8.03,3.643,2,606145.8213297526
474,373.2248,8.18,1.344,2,768667.2835286458
475,374.2263,8.02,0.0,3,106044.72639973958
476,375.2006,6.11,2.554,1,454637.5792643229
477,375.2006,6.24,1.324,1,519431.657063802
478,375.2456,7.97,7.649,2,2461636.8059895835
479,375.2456,8.13,1.331,1,2556396.6393229165
480,375.2456,8.93,1.155,2,432587.0495605469
481,375.2456,9.06,0.981,3,466370.5930582682
482,375.2456,9.81,0.0,1,144562.50467936197
483,376.2375,7.97,3.281,2,471247.4696044922
484,376.2375,8.09,1.315,2,549337.7639973958
485,376.3429,16.52,3.926,1,1915597.848958333
486,376.3429,16.67,2.721,3,2732692.0406901045
487,376.3429,16.79,2.54,2,2789567.8659667973
488,377.217,5.77,12.12,2,4101884.5052083326
489,377.217,5.93,0.0,3,4744727.103678385
490,377.2321,15.13,0.0,2,159743.33760579425
491,377.3377,14.66,1.953,1,158533.34663899738
492,378.2141,5.77,2.978,3,530944.938680013
493,378.2141,5.89,1.202,2,665621.43359375
494,378.3201,11.74,3.262,2,242208.8411458333
495,380.262,6.43,1.962,2,590401.9109293619
496,380.262,6.55,3.255,2,573594.3346354166
497,381.2672,11.85,0.0,1,146082.73291015622
498,381.2977,16.53,6.412,2,2664087.443318685
499,381.2977,16.65,1.756,3,2997512.636433919
500,381.2977,16.77,3.308,3,3406258.2628580728
501,382.275,6.81,2.61,1,926759.8575846354
502,382.275,6.97,2.593,2,870948.4944661458
503,382.3056,16.52,5.479,3,587225.8424479166
504,382.3056,16.65,0.0,3,644143.478515625
505,383.2856,11.24,0.731,2,221716.06245930993
506,384.2987,7.21,1.991,1,1376926.4272460935
507,384.2987,7.52,1.952,2,1405703.5242919922
508,385.0681,8.77,1.101,3,128820.26985677081
509,385.0681,8.9,0.576,2,113478.13313802083
510,385.2992,7.28,0.97,3,170347.24161783856
511,385.3454,15.63,1.97,3,322066.4947916667
512,385.3454,15.76,0.0,3,407391.10876464844
513,387.0601,8.78,0.0,1,228348.05786132812
514,388.2541,4.23,0.0,1,610385.7879638672
515,388.3473,16.81,0.0,3,132255.552734375
516,389.2181,7.21,6.374,1,2176801.8138427734
