,m/z,rt,sn,score,peak area
524,373.1797,9.74,0.0,3,302457.359781901
525,373.3141,15.57,1.953,1,307357.8758544922
526,373.3141,15.69,0.0,3,364135.8263346354
527,374.3159,15.82,0.949,3,323305.6438802083
528,375.1703,4.91,0.0,2,1567837.491455078
529,375.1853,5.02,0.0,1,152980.46476236978
530,375.3054,15.57,2.509,3,303807.1938883463
531,375.3054,15.7,1.298,3,309178.3927408854
532,376.1771,4.91,5.189,1,355320.6520182292
533,376.3426,16.53,3.158,3,18388420.20711263
534,376.3426,16.65,2.284,3,24297753.720703125
535,376.3426,16.78,2.722,1,26970663.04915365
536,376.3426,16.9,4.128,3,27478732.5365804
537,377.2318,15.13,0.0,2,151889.29052734375
538,377.3374,14.62,1.474,1,228259.45581054688
539,377.3525,16.53,6.965,3,5314757.464518229
540,377.3525,16.65,2.305,2,5774694.208333333
541,377.3525,16.78,1.668,2,6288040.0048828125
542,378.3501,16.53,3.363,1,628284.9140625
543,378.3501,16.64,0.0,1,814079.6078694661
544,379.2592,6.51,0.0,2,122502.50415039062
545,379.2592,15.57,2.115,1,358680.0758463541
546,379.2592,15.69,1.716,3,378325.3015136719
547,380.3378,14.42,0.0,3,156101.17724609375
548,380.3378,14.7,0.0,3,227559.15266927084
549,381.2974,16.34,4.359,1,1873586.844197591
550,381.2974,16.53,4.658,2,21808716.722981766
551,381.2974,16.65,2.115,1,24640812.46724446
552,381.2974,16.78,3.535,2,27745886.432739258
553,381.2974,16.91,9.419,3,28157486.404134113
554,382.3053,16.34,3.82,3,411237.6842447917
555,382.3053,16.53,5.197,3,5049532.701090494
556,382.3053,16.65,2.101,3,5630168.739176432
