,m/z,rt,sn,score,peak area
413,350.2268,9.84,4.624,1,1380906.0256754556
414,350.2268,9.98,2.857,2,1617740.8631184895
415,350.2268,10.09,0.0,3,1638734.4180908203
416,350.3249,14.42,1.042,2,375431.6708984375
417,350.3249,15.01,0.0,3,256020.62658691406
418,351.2369,9.85,0.0,3,270316.91719563794
419,351.2369,9.99,0.0,3,124648.22916666667
420,353.2234,11.6,0.0,2,111042.41650390625
421,353.2658,15.37,3.071,2,1798694.0651041667
422,353.2658,15.5,5.042,1,32668457.747965492
423,353.2658,15.63,2.707,3,22684227.590006508
424,353.2658,15.76,4.489,2,32121372.14453125
425,353.2658,16.03,9.884,1,32668457.747965492
426,354.228,10.27,0.0,1,216108.3333333333
427,354.2847,10.89,0.0,3,121927.94205729166
428,355.278,15.6,2.538,2,599711.8782552083
429,355.278,15.73,1.976,1,974144.5035807291
430,355.278,15.85,0.0,3,1002667.5865885417
431,355.3065,12.49,0.856,2,156559.62231445312
432,356.2742,5.91,0.0,2,131519.01135253906
433,357.1445,12.48,0.0,2,260810.83170572916
434,357.2874,15.59,2.194,3,222276.56103515622
435,357.316,13.84,3.583,1,1991615.1628011067
436,357.316,13.96,2.117,3,2239252.156575521
437,357.316,14.09,2.103,2,2227564.1263427734
438,357.316,14.21,2.173,2,2364314.7705078125
439,357.316,14.35,0.0,3,2532782.804117838
440,358.3179,13.84,2.257,3,335731.04150390625
441,358.3179,13.96,1.251,2,346953.33479817706
442,359.3226,16.33,3.684,1,1211472.4921875
443,359.3226,16.53,2.899,3,14792760.81363932
444,359.3226,16.66,2.092,1,19801292.522135414
445,359.3226,16.81,1.402,3,21287853.446614582
446,360.3156,16.33,2.991,3,278153.4680989584
447,360.3156,16.53,2.915,3,3156471.715779622
448,360.3156,16.68,3.124,2,4646237.252237955
449,360.3156,16.8,2.303,3,4707990.979980469
450,360.3301,17.21,10.294,3,3172193.720052083
451,360.3301,17.33,0.0,3,3656195.9957682295
452,360.3589,14.14,0.0,1,181784.7278645833
453,361.3259,16.51,2.583,2,435805.7288004557
454,361.3259,16.64,1.732,2,549725.7999674479
455,361.3259,17.21,4.044,1,626088.3733723958
456,361.3259,17.33,1.413,2,728452.6813151041
457,362.3245,11.68,3.434,3,266956.2737630208
458,363.3259,13.9,3.09,2,359336.13590494794
459,366.3174,13.96,3.634,1,347199.7854410807
460,366.3467,15.83,2.732,1,919055.4296875
461,366.3467,15.95,2.809,1,1330847.2560221353
462,366.3467,16.07,0.0,3,1493953.0760904946
463,366.376,17.82,0.0,3,164073.04557291666
464,367.2857,16.09,0.0,1,190070.65397135416
465,368.4187,16.55,0.851,3,300826.5012207031
466,368.4187,16.67,0.379,1,461260.3551432291
467,369.2448,8.86,3.253,1,432084.76440429676
468,369.2448,15.59,2.301,3,358631.44441731763
469,369.2448,15.7,1.721,3,492487.6731770834
470,370.3838,17.08,4.914,3,933220.8369547527
471,370.3838,17.2,1.702,1,1089730.3097330728
472,371.155,13.84,0.0,2,121265.6560872396
473,371.1699,13.23,1.691,1,325190.0833333334
474,371.1996,12.04,4.935,1,1457514.489908854
475,371.1996,12.17,2.23,1,1716647.8714192708
476,371.1996,12.29,0.0,3,1989531.3125
477,371.3184,16.82,2.769,2,1432627.7436116538
478,371.3184,16.96,3.027,1,2182232.7869873047
479,371.3184,17.11,1.946,1,2266943.4297281904
480,371.3778,17.07,0.0,3,259763.75569661453
481,372.1957,12.03,3.495,3,288405.7688395182
482,372.3148,16.82,2.368,3,306183.5777994791
483,372.3148,16.94,1.335,1,408738.5504557291
484,373.1796,9.74,5.598,1,452586.8568929036
485,373.2542,10.09,2.871,2,246975.89510091144
486,373.3139,15.59,3.304,1,343994.0963541667
487,373.3139,15.72,0.0,3,365541.63199869794
488,374.3157,15.81,0.745,1,392653.4365234375
489,375.1701,4.91,0.0,2,1931959.724690755
490,375.3052,15.59,2.284,1,256147.01338704428
491,376.1769,4.91,6.005,1,416645.72607421875
492,376.3425,16.53,4.878,1,20662101.245117184
493,376.3425,16.72,2.278,2,26028337.00061035
494,376.3425,16.85,9.975,1,26606499.55480957
495,377.2317,15.13,2.002,3,149515.0755208333
496,377.3373,14.41,0.0,2,109425.38753255208
497,377.3373,14.65,2.374,1,239441.47587076825
498,377.3373,14.77,0.934,1,282465.044921875
499,377.3524,16.53,5.22,1,4927288.784830729
500,377.3524,16.66,1.892,2,5621736.458821614
501,378.3499,16.53,2.812,2,589690.264485677
502,378.3499,16.68,1.296,3,777925.7235921223
503,379.259,6.51,1.952,3,162727.46622721353
504,379.259,15.57,2.089,2,351618.6357421875
505,379.259,15.7,1.505,2,389748.87109375
506,380.3376,14.4,0.0,2,205279.1066080729
507,380.3376,14.68,2.527,2,234021.77201334637
508,380.3376,14.81,0.0,3,255159.65478515625
509,381.2973,16.34,0.249,2,2120306.727335612
510,381.2973,16.53,8.247,1,24523439.458984375
511,381.2973,16.74,3.261,1,27173003.37658691
512,381.2973,16.91,0.0,1,27511601.46695963
513,382.3052,16.33,2.864,1,405665.5250651041
514,382.3052,16.45,0.0,1,6215589.056640625
515,382.3052,16.66,1.952,3,5461638.664957682
516,382.3052,16.79,2.817,1,6131869.720052083
517,382.3052,16.9,0.0,3,6215589.056640625
518,383.2545,10.36,2.647,2,263424.8902994791
519,383.2698,11.4,4.241,3,594732.0540364583
520,383.2698,11.52,1.705,1,701365.3032633463
521,383.3005,16.51,2.598,3,524551.4968668619
522,383.3005,16.65,0.0,3,729101.5767822264
523,385.0677,8.78,0.0,3,218952.92757161456
524,385.1755,13.9,1.631,1,145949.58561197916
525,387.0597,8.79,1.626,1,203645.41455078122
526,388.2537,4.24,0.0,1,1164544.2364908857
527,388.2537,4.39,0.0,1,1168522.6680501304
528,388.3469,16.81,2.286,3,214384.4212239583
529,388.3469,16.93,0.0,1,333436.37504069007
530,389.2489,9.49,3.404,1,371315.103515625
531,389.2489,9.61,0.0,3,416926.00842285156
532,391.2782,16.8,0.578,2,1162132.4440104165
533,391.3564,14.41,1.133,1,739875.0500488281
534,391.3564,14.94,0.91,3,432090.51822916657
535,391.3564,15.09,1.914,2,403050.95263671875
536,391.3564,15.21,0.878,1,432090.51822916657
537,393.3024,16.82,3.123,3,465915.33943684894
538,393.3024,16.95,1.439,1,628781.7864990234
539,395.2579,10.27,0.0,1,353071.55566406244
540,395.3054,16.73,10.864,2,6204821.768391927
541,395.3054,16.91,0.0,3,6781784.8503011055
542,396.3186,16.73,5.633,2,1304955.3333333333
543,396.3186,16.85,0.0,1,1694912.1967773438
544,396.3979,17.21,8.999,2,4435170.198933918
545,396.3979,17.38,2.761,2,4967951.690429687
546,396.3979,17.49,0.0,3,5050475.0452473955
547,397.2709,15.59,3.697,1,409090.6764322916
548,397.2709,15.72,0.0,2,432271.17301432294
549,397.2709,16.52,2.602,3,377930.47981770826
550,397.3981,17.21,7.258,2,1210081.4855143228
551,397.3981,17.33,2.851,1,1403062.0265299478
552,397.3981,17.49,0.0,3,1413920.7498372395
553,398.337,14.0,2.19,1,1884151.8022460938
554,398.337,14.13,2.053,1,1314147.3583984373
