,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
7026,0.348599979,0.24969748619340945,0.182599989,0.16599999,0.9090909090909092,1766385.1061197915,2.1430000000000002,125872.0,0.639,43879.0546875,252763.13477089658,134682.00896628277,387445.1437371794,0.5328388140476179,0.00628947148655411,1
7027,0.426066641,0.3277470722826507,0.304333315,0.121733326,0.4,2000279.8170572915,2.553,69663.0,0.875,29681.005859375,62213.8341244269,166360.60901235393,228574.4431367809,2.6740131251135364,0.007620307014496656,1
7028,0.509066636,0.4976684789729928,0.426066641,0.082999995,0.1948051948051948,2152507.9030761714,1.464,23779.0,1.933,12105.123046875,14734.713778713854,69650.0320877784,84384.74586649225,4.726934851520267,0.010007731170929492,1
7029,0.13833332499999998,0.08183441647369967,0.049799997,0.08853332800000001,1.7777777777777777,489420.92252604157,3.213,245338.0,0.5770000000000001,33938.4609375,576080.5279078588,323975.8942435505,900056.4221514093,0.5623795260362782,0.0013914246643129571,1
7030,0.22133332,0.22158826499874365,0.16599999,0.05533333,0.33333333333333337,607195.6560872395,0.0,39265.0,1.7469999999999999,8690.595703125,26886.51733817876,72455.41376668129,99341.93110486004,2.6948605077904557,0.0020012162045081184,1
7044,0.11066666,0.08565990200830889,0.033199997999999994,0.07746666199999999,2.333333333333333,247809.66259765625,0.0,166416.0,0.6729999999999999,18416.75,446840.58552902704,141553.71381807778,588394.2993471047,0.3167879516818921,0.0010569394426864624,1
7049,0.215799987,0.1857210323567379,0.033199997999999994,0.182599989,5.500000000000001,422099.0001627604,2.227,70950.0,0.7070000000000001,15310.912109375,369608.1243670674,46394.26452915134,416002.3888962187,0.12552284831021732,0.002324297983090445,1
7050,0.420533308,0.4204558639983536,0.15493332399999998,0.265599984,1.7142857142857142,670247.9549153645,0.0,22257.0,0.9420000000000001,9359.7099609375,31182.31526071373,17308.727880659542,48491.04314137327,0.5550815497804495,0.0125694281736045,1
7051,0.16599999,0.14743620917365322,0.05533333,0.11066666,2.0,254359.8501383463,2.043,68179.0,0.7490000000000001,11317.7841796875,120637.4025641406,56291.735884968046,176929.13844910864,0.4666192630850022,0.002160238058952657,1
7059,0.094066661,0.035295884543970465,0.027666665,0.06639999599999999,2.3999999999999995,910743.5071614585,8.998,1477392.0,0.385,138973.359375,5988892.8854609085,2932757.406835009,8921650.292295918,0.4896994257410737,0.0007761438578613934,1
7060,0.13833332499999998,0.0831872105929998,0.049799997,0.08853332800000001,1.7777777777777777,373396.6557617185,0.0,193343.0,0.5579999999999999,26745.7109375,393110.0737247421,271976.72878928145,665086.8025140235,0.6918589651297543,0.0013914246643129571,1
7062,0.282199983,0.07140384659744392,0.05533333,0.226866653,4.1,41505220.04361979,110.961,9889279.0,0.292,2790754.25,54075834.75397779,30600531.66684414,84676366.42082193,0.5658818177484201,0.006670958096707635,1
7069,0.49799997,0.4973744628824112,0.033199997999999994,0.464799972,14.0,2153800.086547852,1.879,21066.0,2.281,10491.1123046875,189687.03342295592,11167.393541413345,200854.42696436925,0.058872730201398514,0.0011394937150576206,1
7070,0.475866638,0.4262667911895068,0.188133322,0.287733316,1.5294117647058822,2129137.4901936846,2.622,33295.0,1.5630000000000002,15843.8369140625,46583.77733039198,30919.70990835245,77503.48723874442,0.6637441547313071,0.015023258426370366,1
7071,0.38733331,0.12821116195937346,0.304333315,0.082999995,0.2727272727272727,1981456.4471842446,3.057,87785.0,0.8320000000000001,34002.140625,213619.54535093767,349633.3975402341,563252.9428911717,1.6367107090591857,0.005979486409517981,1
7072,0.49799997,0.4975141287713425,0.453733306,0.044266664000000004,0.0975609756097561,2153800.086547852,1.483,16625.0,2.89,8279.310546875,9212.251090692338,85974.16604635178,95186.41713704412,9.332590395111609,0.009209555018211723,1
7073,0.16599999,0.14249070799252034,0.027666665,0.13833332499999998,4.999999999999999,406416.3620605468,2.5180000000000002,121903.0,0.669,20235.9375,516908.3401306597,82315.65663934598,599223.9967700057,0.15924613756191072,0.0016853820599388445,1
7074,0.237933319,0.22922070453193896,0.14386665799999998,0.094066661,0.6538461538461539,499000.53385416657,1.909,44822.0,1.088,10664.6513671875,37942.877938460566,60126.51853880307,98069.39647726364,1.5846588821312415,0.0026375754650802817,1
7075,0.199199988,0.08478202212953093,0.044266664000000004,0.15493332399999998,3.5,667227.9220784504,0.0,206501.0,0.451,41135.07421875,854296.7194067672,338802.2118491468,1193098.931255914,0.3965861089627205,0.003749115194557836,1
7083,0.265599984,0.07223682847715918,0.05533333,0.210266654,3.8,4570703.003621418,48.934,1228721.0,0.292,326348.34375,5490666.10968366,3837734.118026946,9328400.227710608,0.6989560176056769,0.0063540204339335975,1
7084,0.27666665,0.2777030049893899,0.248999985,0.027666665,0.11111111111111112,4583161.897705078,1.028,24545.0,13.498,6790.87744140625,13734.529560059736,111384.8199088116,125119.34946887133,8.109838740507044,0.002857960376857539,1
7099,0.14386665799999998,0.07572893117685353,0.044266664000000004,0.099599994,2.25,415789.20015462226,3.96,204764.0,0.5429999999999999,29458.755859375,582116.04778845,292100.2258815344,874216.2736699844,0.5017903680739757,0.0017477034712451891,1
7100,0.188133322,0.18774334089547084,0.16599999,0.022133332000000002,0.13333333333333333,468393.9553629557,0.0,32295.0,2.267,6075.8037109375,18661.297771432506,121750.92382138575,140412.22159281824,6.524247419049662,0.0013333793840560099,1
7101,0.6363332949999999,0.6366464893341102,0.033199997999999994,0.6031332970000001,18.166666666666668,2164398.8201497397,1.8980000000000001,14922.0,1.982,9495.5234375,167626.70703060259,7804.671501682109,175431.3785322847,0.04655983309543424,0.0009933990826022467,1
7102,0.381799977,0.2217456213247514,0.15493332399999998,0.226866653,1.4642857142857142,1836137.606770833,5.656000000000001,116359.0,0.599,44425.734375,315008.69917873805,146880.839378248,461889.538556986,0.4662755021089333,0.00943169481954282,1
